source_id,field,id,ra,dec,grizliv,pixscale,f_r02,f_r05,ratio_r05_r02,measurable,reason
106664,primer-uds-south,42310,34.42231108764973,-5.250702316556367,1.12.10,0.049999999999996804,53.31741821243444,65.68036522434879,1.2318744497840506,True,
106791,primer-uds-south,24557,34.422575757740205,-5.279004873023262,1.12.10,0.049999999999996804,90.61261822644562,260.8302340234549,2.8785200022763573,True,
106887,primer-uds-south,24556,34.42277875146811,-5.278996375833584,1.12.10,0.049999999999996804,65.34841186635899,205.89831254797275,3.150777603731914,True,
107613,primer-uds-north,49298,34.42431077485901,-5.136491239839027,1.12.10,0.049999999999996804,48.96260740205748,94.77002076962806,1.9355591092488609,True,
107774,primer-uds-north,81683,34.42458944368483,-5.089205467555474,1.12.10,0.049999999999996804,16.839955134423754,17.63363006513767,1.0471304658699183,True,
108041,primer-uds-south,8579,34.42513349964331,-5.306607963195884,1.12.10,0.049999999999996804,63.12833311602633,134.62212814290993,2.132515171840226,True,
108276,primer-uds-south,73933,34.42570129088322,-5.194656419162188,1.12.10,0.049999999999996804,23.99339935791776,29.832298491266354,1.2433543928581245,True,
108397,primer-uds-north,32858,34.42591529014293,-5.159179447563612,1.12.10,0.049999999999996804,13.258103295236522,15.298211224939525,1.1538763037421793,True,
108706,primer-uds-north,61298,34.42653752181112,-5.119519460404055,1.12.10,0.049999999999996804,5.603586213019103,8.285762899736648,1.4786535951719464,True,
108882,primer-uds-north,78225,34.42692563642995,-5.0960543016264905,1.12.10,0.049999999999996804,283.3001089963352,591.3215396734608,2.087261956122686,True,
109054,primer-uds-north,86955,34.427270037165435,-5.076068663499999,1.12.10,0.049999999999996804,14.437023428925423,69.1373487597037,4.788892190974974,True,
109157,primer-uds-north,45763,34.42748298355191,-5.141674525013087,1.12.10,0.049999999999996804,196.860867431607,415.39875066572256,2.1101133815233215,True,
109293,primer-uds-north,19392,34.427708959998704,-5.177581216011069,1.12.10,0.049999999999996804,7.4319090618908685,16.316986970415144,2.19553103173516,True,
109866,primer-uds-south,34668,34.428902424135835,-5.262665525246181,1.12.10,0.049999999999996804,6.3429504779582455,9.36326454145497,1.4761686338230635,True,
110142,primer-uds-north,54684,34.429483849403695,-5.128837853424645,1.12.10,0.049999999999996804,8.196805742870588,11.466055731124122,1.3988443902183556,True,
110205,primer-uds-north,66283,34.42961707031422,-5.11229603358418,1.12.10,0.049999999999996804,33.46420885437321,44.236257847393944,1.3218976142510241,True,
110482,primer-uds-north,65675,34.43021826213349,-5.113187339514086,1.12.10,0.049999999999996804,31.24070305781888,38.35986111986016,1.2278808530289944,True,
110826,primer-uds-north,34592,34.43097901099138,-5.157725259293786,1.12.10,0.049999999999996804,3469.320210953606,6019.827436179454,1.7351605127636214,True,
111026,primer-uds-north,40036,34.431397790896476,-5.14949340408396,1.12.10,0.049999999999996804,8.127809150781378,17.439884653571255,2.145705482257128,True,
111233,primer-uds-south,49049,34.431862916931614,-5.239957655123563,1.12.10,0.049999999999996804,57.29779210036683,99.49290290948241,1.7364177442510118,True,
111235,primer-uds-north,15825,34.43186512690106,-5.182780341052433,1.12.10,0.049999999999996804,11.238880407414086,13.189332131161052,1.1735450198811874,True,
113447,primer-uds-north,58213,34.43683451482589,-5.124719093644052,1.12.10,0.049999999999996804,213.60748432894428,639.7688512211563,2.9950675802910816,True,
113511,primer-uds-north,82541,34.43696805422405,-5.087556613418794,1.12.10,0.049999999999996804,11.54580874558688,12.975341116630053,1.1238139659631534,True,
113519,primer-uds-north,58214,34.43697999886613,-5.1245691137507405,1.12.10,0.049999999999996804,194.01303116388237,516.7661851853181,2.6635643084654808,True,
113669,primer-uds-north,6054,34.4373661651913,-5.200392647531022,1.12.10,0.049999999999996804,51.31573761146521,121.88638662293062,2.375224293681363,True,
113909,primer-uds-south,12676,34.43793297070579,-5.2994734345260035,1.12.10,0.049999999999996804,4.469447712884576,11.471833649931924,2.5667228675392684,True,
114106,primer-uds-south,15714,34.43830556908938,-5.294297491845391,1.12.10,0.049999999999996804,63.391089374486555,149.10188759733683,2.3520953665350146,True,
114374,primer-uds-north,24564,34.43898599483391,-5.1705432974252155,1.12.10,0.049999999999996804,26.242347919645006,31.269966005785207,1.1915841563237766,True,
114984,primer-uds-north,1035,34.44041831211307,-5.210205761455757,1.12.10,0.049999999999996804,62.49600115419214,108.83039936779255,1.741397807185818,True,
115235,primer-uds-south,66107,34.440988098201736,-5.20933689180298,1.12.10,0.049999999999996804,8.384077005155207,7.076463458357417,0.8440360762438414,True,
115567,primer-uds-north,79077,34.44168309700992,-5.093647557574641,1.12.10,0.049999999999996804,73.6837095775852,93.93704002767612,1.2748684962551347,True,
115618,primer-uds-south,29677,34.441829254341975,-5.270732206678464,1.12.10,0.049999999999996804,11.705314689955193,20.964641153033924,1.7910360984164344,True,
115719,primer-uds-south,64263,34.442066213644104,-5.2132936586032965,1.12.10,0.049999999999996804,27.05172471885059,68.94604517705864,2.5486746554468156,True,
