source_id,field,id,ra,dec,y,y_strict,ambiguous,bands_complete,in_hviding25_A1,in_hviding25_B1,in_barro25,in_degraaff26,in_perger25,in_kocevski24,spec_tested,spec_vshaped,mag_f444w,snr_f444w,r_h_arcsec,r_star_v1_arcsec,z_phot,sel_labbe23,sel_kokorev24,sel_kocevski24,sel_perezgonzalez24,sel_barro23,sel_greene24,sel_akins24,picked,region,sky_group,sky_group_size,in_support,oof_score,oof_sel_burden,oof_sel_neg1,oof_sel_05,m_f090w,m_f115w,m_f150w,m_f200w,m_f277w,m_f356w,m_f444w,asnr_f090w,asnr_f115w,asnr_f150w,asnr_f200w,asnr_f277w,asnr_f356w,asnr_f444w,c_f090w_f115w,c_f115w_f150w,c_f150w_f200w,c_f200w_f277w,c_f277w_f356w,c_f356w_f444w,c_f115w_f200w,c_f200w_f356w,c_f277w_f444w,slope_blue,slope_red,v_curv,log_rh,log_rh_over_rstar,n_snr_ge1,n_snr_ge3,f_f090w_ujy,f_f115w_ujy,f_f150w_ujy,f_f200w_ujy,f_f277w_ujy,f_f356w_ujy,f_f444w_ujy,e_f090w_ujy,e_f115w_ujy,e_f150w_ujy,e_f200w_ujy,e_f277w_ujy,e_f356w_ujy,e_f444w_ujy,c_f115w_f200w_ab,c_f150w_f200w_ab,c_f200w_f356w_ab,c_f200w_f444w_ab,c_f277w_f444w_ab,sel_region_matched,sel_region_matched_eight,sel_barro24b,hand_added_barro26
575673,ceers-full,76777,214.86878647639887,52.91218810872215,0.0,False,False,True,False,False,False,False,False,False,False,False,26.1406519485442,32.81308771682544,0.1154986786779963,0.0797,4.637949466705322,False,False,False,False,False,False,False,False,CEERS,538535,1,True,0.0910681656560885,False,False,False,2.680372,2.5801513,2.5677855,2.49697,2.0380874,2.1541252,2.2398877,4.0070024,4.086208,3.9321394,4.2667766,4.7940707,4.74335,4.184207,0.10022059,0.0123659065,0.07081546,0.45888266,-0.11603788,-0.08576239,0.08318137,0.34284478,-0.20180027,-0.48253608,1.0311309,1.513667,-0.937423,0.1611187,7.0,7.0,0.08442869839185003,0.0927197023145874,0.09378487520578799,0.10016440086521336,0.15298381977321224,0.13747458478044192,0.12698113966552904,0.0030721668757882773,0.0031167869665569246,0.003678097672421811,0.0028105494717725332,0.0025331848772004923,0.002394829167673914,0.0038698320853364073,0.08385342254086314,0.07145148193176817,0.3437725475245678,0.25756455737972034,-0.2022656995293953,False,False,False,False
575682,ceers-full,25553,214.86884129829733,52.79748131508512,0.0,False,False,True,False,False,False,False,False,False,True,False,25.719793353599343,47.545913936138696,0.1067007814270442,0.0797,5.173915863037109,False,False,False,False,False,False,False,False,CEERS,538544,1,True,0.0652693354189729,False,False,False,2.53029,2.2451808,2.1999583,2.1542404,1.3507389,2.2713623,1.8194411,4.1603165,4.466809,4.316759,4.504995,5.364181,4.660264,4.5549536,0.28510898,0.045222655,0.045717895,0.8035014,-0.92062336,0.45192114,0.09094055,-0.11712194,-0.4687022,-0.8652514,3.6320055,4.4972568,-0.9718324,0.12670928,7.0,7.0,0.09701794866794711,0.12633211528503163,0.1317147651519674,0.13741645778919506,0.2881845777067467,0.1233948036024465,0.18710382181306479,0.003028205062421557,0.0029019545514783443,0.003515580820476178,0.00303827763240131,0.0026982117455415055,0.0023358174136030303,0.003935224003988509,0.09131245374130738,0.046010718987338904,-0.11685469591769117,0.33510977276140275,-0.46897019281584484,False,False,False,False
575707,ceers-full,34752,214.8689156999389,52.81666874522031,0.0,False,False,True,False,False,False,False,False,False,False,False,29.361618917052606,1.845956119151131,0.1601396937941254,0.0797,5.481252193450928,False,False,False,False,False,False,False,False,CEERS,538569,2,True,0.0299509091118505,False,False,False,5.270492,4.644795,5.4928207,5.282491,5.17819,4.5483985,5.247241,1.1726588,2.4251106,1.0372474,1.6142344,1.568857,2.5034919,1.3725437,0.6256972,-0.8480255,0.21032928,0.10430105,0.62979174,-0.69884276,-0.63769627,0.7340928,-0.069051005,1.4412107,-0.14678764,-1.5879984,-0.795501,0.30304068,7.0,2.0,0.004915174037582781,0.01277202146524442,0.0039440829356165216,0.00621238173242945,0.007726868019726984,0.014791780172900823,0.006536607880296205,0.0033653727257885345,0.0022776652969638597,0.003197458379892539,0.002575081937821358,0.0033647200618308077,0.0024362025001714036,0.003541041854939697,-0.7825037644478214,0.4932802383403534,0.9419057749379778,0.055235747987153916,-0.1816276526950077,False,False,False,False
575717,ceers-full,61597,214.8689474023836,52.87720947805656,0.0,False,False,True,False,False,False,False,False,False,True,False,27.32792463795221,21.29588480620751,0.1496658474035484,0.0797,5.228446006774902,False,False,False,False,False,False,False,False,CEERS,538578,1,True,0.0612756586432377,False,False,False,3.819033,3.9361577,3.7451737,3.9522877,3.4539135,3.5454044,3.4211714,3.1803088,3.128277,3.281522,3.4387095,3.8521025,3.9093285,3.7522118,-0.11712491,0.19098413,-0.20711413,0.49837422,-0.09149093,0.12423292,-0.016130002,0.4068833,0.032741982,0.25446036,-0.09709182,-0.3515522,-0.82487726,0.27366439,7.0,7.0,0.02891834378915653,0.026068411354488646,0.031282289551714394,0.0258077163362755,0.041381767483178594,0.03803482642599926,0.04254319915839509,0.0024085964131071633,0.002287624754790572,0.002353938630257685,0.001658879666925667,0.0017582802148413909,0.0015261119420829283,0.001997719256351078,-0.010912472267779168,-0.2088723875596231,0.4210796552890359,0.5427014206641939,0.030052771658601367,False,False,False,False
575743,ceers-full,50011,214.8690659257975,52.852377033238334,0.0,False,False,True,False,False,False,False,False,False,True,False,23.86920579822917,190.36092775228067,0.1669325230843817,0.0797,3.1902596950531006,False,False,False,False,False,False,False,False,CEERS,538604,1,True,0.0215040351241364,False,False,False,0.4416054,0.38723788,0.08316292,-0.5567206,-0.21974584,0.19047448,-0.030805858,5.6427155,5.814441,5.9182386,6.5058837,6.378695,6.109021,5.942076,0.0543675,0.30407497,0.6398835,-0.33697477,-0.41022032,0.22128034,0.9439585,-0.7471951,-0.18893999,-2.908348,1.0094421,3.9177902,-0.777459,0.32108262,7.0,7.0,0.6657878377099802,0.6999892135326453,0.9262475912734504,1.6698845648106282,1.2243242972322,0.8390865935835287,1.028768553642812,0.004718143361531196,0.004177779212889461,0.00498312605878205,0.004991693750366937,0.004156193386237888,0.0037301363410704716,0.005404305210056356,0.9439877565368039,0.6398983970827352,-0.7471991704425367,-0.5259219243039681,-0.18894696906835606,False,False,False,False
575747,ceers-full,79391,214.8690737489669,52.91889267474253,0.0,False,False,True,False,False,False,False,False,False,True,False,25.63179359138475,30.370513402866298,0.113387532695343,0.0797,6.590817451477051,False,False,False,False,False,False,False,False,CEERS,538608,1,True,0.8062824092602332,False,False,True,3.9806364,2.3577545,2.219014,2.1081328,1.9246639,1.4100794,1.7314941,2.37853,4.2128277,4.106676,4.378919,4.880228,5.2055235,4.10689,1.6228819,0.13874052,0.11088089,0.18346912,0.5145845,-0.32141468,0.24962142,0.6980536,0.1931698,-1.3450736,-2.9780352,-1.6329616,-0.9454347,0.15310699,7.0,7.0,0.024693082453248572,0.11386465456324822,0.1294191501755535,0.143384856699827,0.16983900939919197,0.2728574879935144,0.20290024126534933,0.004617106344742656,0.0033721447367754515,0.004262256470722631,0.003596343698590735,0.0025800991685004677,0.002993980011785485,0.006680830138558016,0.250285884204267,0.11126185725620144,0.6985814748660231,0.3769481920532378,0.19311278835285917,False,False,False,False
575760,ceers-full,7685,214.86914484374552,52.76548516019904,0.0,False,False,True,False,False,False,False,False,False,True,False,29.203589026291496,1.961803101795793,0.0937485367966323,0.0797,1.0830389261245728,False,False,False,False,False,False,False,False,CEERS,538621,1,True,0.0155995270212374,False,False,False,4.574973,4.0831804,3.9760334,4.6224966,4.9930916,4.6703258,5.1332107,2.130191,2.7800477,2.7167277,2.3057916,2.0858192,2.4814467,1.4264216,0.4917927,0.107147045,-0.64646333,-0.3705949,0.3227658,-0.4628847,-0.5393163,-0.047829073,-0.14011888,0.20370665,-0.69287294,-0.89657956,-1.0280355,0.07050618,7.0,6.0,0.013273968524549592,0.022611664140210562,0.02508408352871077,0.013343011385789623,0.009423343290862297,0.01313813451156118,0.007560741492950322,0.003199448745363663,0.0028162923903072325,0.0033301936662124988,0.0026867548250482597,0.002377537115575366,0.002212751202166427,0.0038539757053240357,-0.5726966736931558,-0.6853609541729333,-0.016800381607666098,-0.6167236678287054,-0.23910155800061272,False,False,False,False
575762,ceers-full,74665,214.8691541031487,52.90741407828512,0.0,False,False,True,False,False,False,False,False,False,True,False,27.727692854311304,6.6886811222550735,0.1364364387532261,0.0797,4.857547283172607,False,False,False,False,False,False,False,False,CEERS,538623,1,True,0.0474353312574422,False,False,False,3.9219232,4.2173195,4.0568976,4.102193,3.2553918,3.5745487,3.8137295,2.8032024,2.5215514,2.5257597,2.8582757,3.6434228,3.364021,2.5991056,-0.29539627,0.16042194,-0.045295306,0.84680116,-0.31915686,-0.2391809,0.11512663,0.5276443,-0.55833775,0.39235044,2.8800678,2.4877174,-0.8650696,0.23347205,7.0,7.0,0.026160149494763432,0.019821570190214157,0.023194955210553883,0.02235776934855322,0.049741201429531444,0.0370196420480632,0.029438986762192983,0.003183123518708264,0.003205413852828623,0.0037349804156850555,0.0025736929912391986,0.002604505144207766,0.00256452238312611,0.0044013141341484215,0.13072604200536891,-0.03991266686044927,0.5475093591226334,0.29873596696620436,-0.5694835314105985,False,False,False,False
575837,ceers-full,50010,214.86940189343667,52.85253793627792,0.0,False,False,True,False,False,False,False,False,False,True,False,23.12662570282144,269.95158703694693,0.2390347528671328,0.0797,3.140223503112793,False,False,False,False,False,False,False,False,CEERS,538692,1,True,0.3222336729987647,False,False,False,2.243949,1.6146985,0.94229925,0.17196299,-0.3184311,-0.43934768,-0.77337724,3.8274596,4.5327435,4.9589977,5.7533,6.2467275,6.3178954,6.2913933,0.6292504,0.6723992,0.7703363,0.49039412,0.120916575,0.3340296,1.4427354,0.61131066,0.45494616,-6.1129427,-2.2422154,3.8707273,-0.62153894,0.47700274,7.0,7.0,0.12641883215735106,0.22593893819055189,0.4198001875285384,0.8535086434333569,1.3408212624969276,1.4987803899990235,2.0386830816619526,0.005505578980377552,0.004858764516313807,0.005894252737222483,0.00541521634508514,0.0051937758442905935,0.0054068251851545675,0.007552032214513072,1.4430421002729854,0.7704132382469425,0.6113251965338181,0.9453544883073788,0.45494707642153415,False,False,False,False
575853,ceers-full,8690,214.8694555822061,52.7670606249741,0.0,False,False,True,False,False,False,False,False,False,False,False,26.833847989922308,13.892250741536968,0.1582662577999811,0.0797,5.427567005157471,False,False,False,False,False,False,False,False,CEERS,538707,1,True,0.2657619656367089,False,False,False,3.2667572,3.367263,3.340484,3.146227,3.128069,2.7749429,2.931115,3.1626413,3.225709,2.934866,3.4635901,3.5787199,3.9807744,3.3257713,-0.10050583,0.026779162,0.19425708,0.018157747,0.35312626,-0.15617211,0.22103624,0.371284,0.19695415,-0.47157612,-1.4341453,-0.96256924,-0.8006117,0.29793,7.0,7.0,0.04889631482913855,0.04464923154228717,0.04577961059282888,0.05493616496821758,0.05596045246361761,0.07755730239768965,0.06705957613263544,0.004145402493509576,0.0035532219992133107,0.004879036072638865,0.0034442639723518973,0.003126305019569278,0.002897182125676756,0.004827121060529916,0.22511087471404084,0.19796561085978243,0.37441089120210774,0.2165061637421149,0.19644896686229488,False,False,False,False
575866,ceers-full,42350,214.86950390559443,52.83409408497499,0.0,False,False,True,False,False,False,False,False,False,True,False,25.00903293611138,85.8419640273161,0.1387020602373628,0.0797,0.6907485127449036,False,False,False,False,False,False,False,False,CEERS,538719,1,True,0.098812483359826,False,False,False,2.9724524,2.6023674,2.1963353,1.5507348,1.1439406,1.0065216,1.1089377,3.5481303,4.001751,4.2011404,4.9641366,5.511771,5.6349216,5.145689,0.37008506,0.40603212,0.64560044,0.40679416,0.137419,-0.10241616,1.0516325,0.5442132,0.035002835,-4.413794,-0.31078947,4.1030045,-0.8579171,0.24062459,7.0,7.0,0.06437026886678898,0.09083506921311899,0.13215578971509648,0.23967287253021144,0.34865887393384454,0.3957090242194222,0.36006990618651424,0.0037080175356578983,0.0033226938339524434,0.003959876459285076,0.0033479037357895974,0.002816475717315875,0.0028261557763922637,0.0041945674270911955,1.053413323944378,0.6463317169848204,0.5443926838153389,0.4419198613362726,0.034965255937197647,False,False,False,False
575904,ceers-full,51045,214.86965470949053,52.85561016269081,1.0,False,False,True,False,False,True,False,False,False,True,False,26.41966027667957,36.501783595387685,0.1069835469782203,0.0797,5.157491683959961,False,False,False,False,False,False,False,False,CEERS,538752,1,True,0.3085510768222588,False,False,False,3.8808305,3.333726,3.3172755,3.4144728,2.5735164,3.1729898,2.5183833,2.5163953,3.6344767,3.548216,3.5743291,4.5268593,4.013227,4.2906957,0.5471046,0.016450569,-0.097197376,0.8409564,-0.5994734,0.6546065,-0.08074681,0.24148297,0.05513311,-0.123002954,0.07524367,0.19824661,-0.970683,0.12785867,7.0,7.0,0.02723218867178005,0.04607082953726767,0.04678289400400944,0.042805695012642545,0.09338406604812452,0.05369953506277226,0.09820551768158975,0.004426872865834717,0.002434028296394403,0.002694673795397205,0.0024019369762951722,0.002020056247455247,0.0019418696567073475,0.0026904306586815353,-0.0798111981277199,-0.09646382761712152,0.24617243173695025,0.9015858412063746,0.05465777411876745,False,False,False,False
576083,ceers-full,55244,214.8703981524641,52.86639751120632,0.0,False,False,True,False,False,False,False,False,False,True,False,27.29511776925633,23.545839116327425,0.1074463128841086,0.0797,3.823310136795044,False,False,False,False,False,False,False,False,CEERS,538924,1,True,0.018873621886373,False,False,False,3.6737382,3.5845613,3.5536191,3.2812948,3.2479846,3.11293,3.3887572,3.5108263,3.6610897,3.6402106,4.0372405,4.3359027,4.4861283,3.852547,0.08917689,0.03094229,0.2723244,0.033310127,0.13505463,-0.27582726,0.3032667,0.16836476,-0.14077263,-1.1747829,0.13700809,1.311791,-0.9688085,0.12973319,7.0,7.0,0.033262162177590635,0.03641418036442593,0.03748890596368231,0.048457794121425465,0.05008347093227804,0.05676515825555263,0.043848313315196584,0.001989004055172609,0.0018732534243564233,0.0019692854851471745,0.0017107152123310512,0.0013114153305962485,0.0012789868746237482,0.0018622531606780064,0.3102327536300948,0.2786521845821455,0.17179553127407113,-0.1085268703852414,-0.14435381709155146,False,False,False,False
576093,ceers-full,75749,214.87042916338007,52.91095108271683,0.0,False,False,True,False,False,False,False,False,False,True,False,27.1916030321162,12.057044170938758,0.1272762460012074,0.0797,0.5041057467460632,False,False,False,False,False,False,False,False,CEERS,538933,1,True,0.0174744265203072,False,False,False,3.3034415,3.7890747,3.2588792,3.118689,3.0501702,3.106569,3.2863388,3.3898861,2.9184134,3.207096,3.6564374,3.861953,3.8584402,3.1845117,-0.4856332,0.53019553,0.14019008,0.06851887,-0.056398854,-0.17976965,0.67038566,0.012120012,-0.2361685,-0.7950007,0.94175977,1.7367604,-0.89525265,0.20328903,7.0,7.0,0.04724108720693619,0.030005618935605997,0.049402938857834124,0.05635795359543288,0.06013952167173062,0.05709984177994606,0.04823461175021972,0.0031888559588469346,0.003251254215024799,0.004005628879353876,0.002912757594392283,0.0025302131910053286,0.0024107882880662255,0.004000533718411699,0.6843815639986361,0.14300607584280892,0.014199224295615528,-0.1689910699329475,-0.23950295600391602,False,False,False,False
576153,ceers-full,44545,214.87062005391024,52.84067323541838,0.0,False,False,True,False,False,False,False,False,False,True,False,28.41050747002569,4.267402295925167,0.1066137320775804,0.0797,0.3805020153522491,False,False,False,False,False,False,False,False,CEERS,538989,1,True,0.0166371318146836,False,False,False,4.0605197,4.05109,4.084537,3.5824804,3.8914504,5.0675383,4.4635797,2.2892601,2.7788057,2.581203,3.265184,3.1777701,2.0938861,2.1576064,0.0094297035,-0.033447314,0.5020567,-0.30896994,-1.176088,0.6039587,0.4686094,-1.4850578,-0.5721292,-1.7493782,4.331832,6.0812106,-0.97218686,0.12635483,7.0,7.0,0.022812229236956357,0.02332866735237002,0.022579273305539067,0.03658572255545194,0.027527830893421888,0.008806232680735384,0.01569628992712489,0.0046716247883782135,0.0029092340443704966,0.00343741910143083,0.0027984927481481416,0.0022986296610505454,0.0022034341970693363,0.003678183784573785,0.48855426536119395,0.5240041905021251,-1.546303700739817,-0.9187865615780272,-0.609937449278082,False,False,False,False
576163,ceers-full,46863,214.87066828154727,52.84610707041675,0.0,False,False,True,False,False,False,False,False,False,False,False,23.85804920118972,148.15055477432085,0.2406233388001218,0.0797,3.530112028121948,False,False,False,False,False,False,False,False,CEERS,538998,1,True,0.8675286278886821,False,False,True,3.6718214,3.8695612,2.9669292,1.720295,0.8069917,0.4715411,-0.041962218,2.523925,2.4983187,3.114225,4.4471664,5.3819857,5.664916,5.6913877,-0.19773981,0.9026321,1.2466342,0.9133032,0.33545062,0.5135033,2.1492662,1.2487538,0.8489539,-7.384896,-4.207962,3.176934,-0.61866224,0.47987944,7.0,7.0,0.033323275375548064,0.027787626811035422,0.06481209880273368,0.20500424365716996,0.47554425439959397,0.6477058448141143,1.039394272921459,0.005375878274634856,0.0046006748449221955,0.005768367037170156,0.004802558012030129,0.004373845650666033,0.004489223864452371,0.007015797372509189,2.1697784838565397,1.2502669145059253,1.2490374122439882,1.7625436708316684,0.8489734517401043,False,False,False,False
