file,ra,dec,grating,root,version,z_best,grade,cand_rank,sep_arcsec,eligible,secure_lowz,secure_highz
rubies-egs53-v4_prism-clear_4233_54200.spec.fits,214.79997438,52.82208868,PRISM,rubies-egs53-v4,0.9.5.dev2+g80b81b4,2.9526844,3.0,711,0.0003785553686065097,False,True,False
rubies-egs61-v4_g395m-f290lp_4233_988636.spec.fits,214.9087715,52.9241677,G395M,rubies-egs61-v4,0.9.5.dev2+g80b81b4,6.820664099999999,3.0,524,0.004252552854671698,False,False,True
rubies-egs62-v4_g395m-f290lp_4233_42630.spec.fits,214.91832395,52.87936559,G395M,rubies-egs62-v4,0.9.5.dev2+g80b81b4,5.66226,3.0,216,0.011788027927815912,False,False,True
rubies-egs62-v4_g395m-f290lp_4233_50588.spec.fits,214.90500593,52.89039109,G395M,rubies-egs62-v4,0.9.5.dev2+g80b81b4,3.638346,3.0,439,0.005887653137923766,False,False,True
rubies-egs63-v4_g395m-f290lp_4233_51393.spec.fits,214.89607368,52.88609182,G395M,rubies-egs63-v4,0.9.5.dev2+g80b81b4,5.76193285,3.0,526,0.006891926386907368,False,False,True
rubies-uds1-v4_g395m-f290lp_4233_19001.spec.fits,34.2318949,-5.281615,G395M,rubies-uds1-v4,0.9.5.dev2+g80b81b4,2.4693122,3.0,721,0.0018401965838754455,False,True,False
rubies-uds1-v4_g395m-f290lp_4233_29318.spec.fits,34.2707527,-5.2641641,G395M,rubies-uds1-v4,0.9.5.dev2+g80b81b4,5.6698184,3.0,119,0.002102626903459632,False,False,True
rubies-uds1-v4_g395m-f290lp_4233_30492.spec.fits,34.2304008,-5.262163,G395M,rubies-uds1-v4,0.9.5.dev2+g80b81b4,-1.0,,1193,0.0050889563020790965,False,False,False
rubies-uds1-v4_g395m-f290lp_4233_40021.spec.fits,34.2514852,-5.24657,G395M,rubies-uds1-v4,0.9.5.dev2+g80b81b4,6.7938473,,605,0.005768807181072884,False,False,False
rubies-uds1-v4_prism-clear_4233_19001.spec.fits,34.2318949,-5.281615,PRISM,rubies-uds1-v4,0.9.5.dev2+g80b81b4,2.4693122,3.0,721,0.0018401965838754455,False,True,False
