reason_excluded,tier,ranking_score,field,id,source_id,ra,dec,sky_group,picked,in_any_list,in_hviding25_B1,y,mag_f444w
published-or-labelled,equal_burden,0.9899615,gds,36050,224834,53.15477105316318,-27.806518903585005,212752,True,True,False,,24.6494066762615
published-or-labelled,equal_burden,0.98995227,gds-sw,24788,214024,53.14063412565426,-27.881374820164417,202822,True,False,False,0.0,25.149128861534855
published-or-labelled,equal_burden,0.98994064,primer-uds-south,14535,106001,34.42092793073686,-5.29616535780565,101321,True,True,False,,24.16721435854696
rule-selected,equal_burden,0.98993933,gdn,72803,464597,189.05773374365208,62.28357157332836,433648,True,False,False,,24.96466111465333
published-or-labelled,equal_burden,0.98993367,primer-cosmos-west,88228,346507,150.09411830391483,2.373683552807172,322730,True,True,False,,25.56673352952791
rule-selected,equal_burden,0.98990357,primer-cosmos-east,40389,394701,150.1375007117897,2.3164408388860456,366853,True,False,False,,25.88120566548279
published-or-labelled,equal_burden,0.98985094,primer-uds-north,26300,69994,34.34620661874796,-5.1681970166968965,66770,True,True,False,,25.105392170711234
rule-selected,equal_burden,0.9898309,gdn,5343,509653,189.26313559951862,62.15122680026045,476221,True,False,False,,26.68955347987228
published-or-labelled,equal_burden,0.9898237,primer-cosmos-west,82031,325003,150.07778470829567,2.350373469786269,303857,True,True,False,,25.286376874393593
published-or-labelled,equal_burden,0.98976964,primer-cosmos-east,64252,412211,150.1558299538678,2.4031070187366423,383447,True,True,False,,25.42778421785872
published-or-labelled,equal_burden,0.9897689,primer-uds-north,69240,83600,34.37488218832681,-5.1081690593660385,79805,True,True,False,,25.722383065391693
,equal_burden,0.9897657,ceers-full,67721,559075,214.79440467191807,52.837397468256505,522768,False,False,False,,25.201894457553124
published-or-labelled,equal_burden,0.98973775,primer-cosmos-east,73202,418731,150.16342282123952,2.4391527546149314,389648,True,True,False,,24.363594643337585
published-or-labelled,equal_burden,0.9897303,ceers-full,16663,593790,214.9349726248649,52.829366964517035,555670,True,True,False,,26.663775133303673
rule-selected,equal_burden,0.9897243,primer-uds-north,73106,33595,34.281439519455695,-5.10285414889866,32079,True,False,False,,26.170005233034907
published-or-labelled,equal_burden,0.98968875,primer-uds-north,72350,80916,34.36895117186716,-5.103941474589491,77229,True,True,True,1.0,24.81079899729488
published-or-labelled,equal_burden,0.9896381,primer-cosmos-east,31582,433239,150.1830702241201,2.2884175112558185,403511,True,True,False,,26.629886020209796
published-or-labelled,equal_burden,0.9896335,primer-uds-south,25373,95213,34.39891384392801,-5.277540738099741,90966,True,True,False,,25.316471787483216
rule-selected,equal_burden,0.989613,gdn,5122,514889,189.27930110499923,62.15006742240723,481124,True,False,False,,25.27461772998928
published-or-labelled,equal_burden,0.98957336,primer-cosmos-west,39120,311351,150.06657200286287,2.2401822748663447,291752,True,True,False,,25.687873716151678
published-or-labelled,equal_burden,0.9895231,ceers-full,68061,591800,214.9272396812169,52.933896872623244,553788,True,True,False,,24.897996909447173
published-or-labelled,equal_burden,0.9895089,primer-cosmos-west,22321,321851,150.07525896841827,2.1918045860316533,301068,True,True,False,,26.731825774213092
rule-selected,equal_burden,0.98950374,primer-uds-south,6878,148231,34.51237948824162,-5.3100001363116265,141837,True,False,False,,24.154617368290424
published-or-labelled,equal_burden,0.9895014,primer-uds-south,73933,108276,34.42570129088322,-5.194656419162188,103499,True,True,False,,25.246367082141635
published-or-labelled,equal_burden,0.9894862,primer-uds-north,79077,115567,34.44168309700992,-5.093647557574641,110495,True,True,False,,24.04767531932987
published-or-labelled,equal_burden,0.9894731,gds-sw,48833,159758,53.04242601978916,-27.841809596709137,152512,True,True,False,,23.94391505760934
rule-selected,equal_burden,0.98946685,gds,38915,247241,53.189697444371184,-27.80075459161798,233558,True,False,False,,26.093581539761278
published-or-labelled,equal_burden,0.989461,primer-cosmos-east,46428,398252,150.14109611698672,2.3383772347804532,370197,True,True,False,,24.413856585637593
published-or-labelled,equal_burden,0.98944914,primer-uds-north,20578,124052,34.46076236343465,-5.175813266156922,118662,True,True,False,,26.30443595465448
published-or-labelled,equal_burden,0.9894487,primer-cosmos-east,48066,401609,150.1444482541484,2.3443950536441704,373382,True,True,False,1.0,24.242831228343878
published-or-labelled,equal_burden,0.98944104,primer-cosmos-east,30744,389871,150.13260517225677,2.2854210064716836,362269,True,True,False,,25.992738189045042
published-or-labelled,equal_burden,0.9893928,primer-uds-north,49635,118031,34.44735784357335,-5.135860137742044,112871,True,True,False,,25.67438793683716
published-or-labelled,equal_burden,0.989377,primer-uds-north,25611,99707,34.40801983030443,-5.169146439501719,95271,True,True,False,,25.30700107446773
